family,coherence,density,shift,mean_over_sd,μ0,centered,mean_y,H00_over_L0,barρ2,kappa,n_active,intercept_share,T_gradient,T_newton,empirical_ratio,asymptotic_ratio,gradient_reached_tol,newton_reached_tol,beta_discrepancy,lambdamax_discrepancy
binary,positive,0.05,NaN,0.22941573387056177,0.9,false,0.656,0.2581091597453441,0.05088404794944465,0.9779746586068404,268,0.43146943262924004,784,211,3.7156398104265405,3.874329764145608,true,true,2.508632190867388e-12,4.662131101617143e-16
binary,positive,0.05,NaN,0.22941573387056177,0.9,true,0.656,0.2581091597453044,0.0014812061787442632,0.6206391339890281,268,0.5278596123933202,67,54,1.2407407407407407,3.8743297641462036,true,true,2.508632190867388e-12,4.662131101617143e-16
binary,positive,0.1,NaN,0.33333333333333337,0.9,false,0.69,0.24017285417889564,0.10156768625361909,0.978503751522136,199,0.6594159126358137,1033,250,4.132,4.163667885859981,true,true,2.0586449211990043e-12,3.817482264580826e-16
binary,positive,0.1,NaN,0.33333333333333337,0.9,true,0.69,0.24017285417881376,0.0018820732219913053,0.6527114786451146,199,0.6330284707534036,67,33,2.0303030303030303,4.1636678858614005,true,true,2.0586449211990043e-12,3.817482264580826e-16
binary,positive,0.3,NaN,0.6546536707079772,0.9,false,0.732,0.22698248049485414,0.30014630221107996,0.994407888164686,191,0.6500797395402731,3211,739,4.345060893098782,4.405626362968003,true,true,2.080655092662198e-12,7.739033791939041e-16
binary,positive,0.3,NaN,0.6546536707079772,0.9,true,0.732,0.22698248049482328,0.0020097395536869543,0.6172691143796097,191,0.8221118533247175,66,30,2.2,4.4056263629686025,true,true,2.080655092662198e-12,7.739033791939041e-16
gaussian,positive,NaN,0.0,0.0,0.9,false,0.712,0.2778690225862998,0.004496551660515693,0.721593862402088,183,0.7699190619005639,81,42,1.9285714285714286,3.5988178555938983,true,true,2.5257296254466155e-12,4.3889702880174157e-16
gaussian,positive,NaN,0.0,0.0,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.5257296254466155e-12,4.3889702880174157e-16
gaussian,positive,NaN,0.25,0.25,0.9,false,0.712,0.2778690225862925,0.06280447506441196,0.9627703604515525,183,0.19306111457860808,369,104,3.548076923076923,3.5988178555939934,true,true,2.2055829385081438e-12,0.0
gaussian,positive,NaN,0.25,0.25,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.2055829385081438e-12,0.0
gaussian,positive,NaN,0.5,0.5,0.9,false,0.712,0.27786902258632024,0.20349995848442917,0.9902387401714688,183,0.3837968327288414,1390,393,3.5368956743002546,3.598817855593634,true,true,2.1172508191114048e-12,0.0
gaussian,positive,NaN,0.5,0.5,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.1172508191114048e-12,0.0
gaussian,positive,NaN,1.0,1.0,0.9,false,0.712,0.27786902258635165,0.5025868580656452,0.9975643488499046,183,1.537512727354724,6480,1814,3.572216097023153,3.598817855593227,true,true,2.3139754001810786e-12,0.0
gaussian,positive,NaN,1.0,1.0,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.3139754001810786e-12,0.0
gaussian,positive,NaN,2.0,2.0,0.9,false,0.712,0.277869022586546,0.8012725051775952,0.9993956302540364,183,3.844944516511737,27294,7668,3.559467918622848,3.5988178555907098,true,true,5.1103565823495956e-12,2.1944851440087078e-16
gaussian,positive,NaN,2.0,2.0,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,5.1103565823495956e-12,2.1944851440087078e-16
gaussian,signed,NaN,0.0,0.0,0.9,false,0.712,0.2778690225862998,0.004496551660515693,0.721593862402088,183,0.7699190619005639,81,42,1.9285714285714286,3.5988178555938983,true,true,2.5257296254466155e-12,4.3889702880174157e-16
gaussian,signed,NaN,0.0,0.0,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.5257296254466155e-12,4.3889702880174157e-16
gaussian,signed,NaN,0.25,0.25,0.9,false,0.712,0.2778690225863646,0.06326588597112949,0.966217001300193,183,0.9750728172482733,612,176,3.477272727272727,3.59881785559306,true,true,2.4465984793664575e-12,0.0
gaussian,signed,NaN,0.25,0.25,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.4465984793664575e-12,0.0
gaussian,signed,NaN,0.5,0.5,0.9,false,0.712,0.2778690225863601,0.2041662732721927,0.9901977470388482,183,1.1802265725944094,1920,542,3.5424354243542435,3.598817855593118,true,true,2.319491820834685e-12,2.1944851440087078e-16
gaussian,signed,NaN,0.5,0.5,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.319491820834685e-12,2.1944851440087078e-16
gaussian,signed,NaN,1.0,1.0,0.9,false,0.712,0.2778690225863506,0.5031064733279966,0.9974098250026411,183,1.5905340832842392,6627,1862,3.559076262083781,3.5988178555932406,true,true,2.2835622282002532e-12,2.1944851440087078e-16
gaussian,signed,NaN,1.0,1.0,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.2835622282002532e-12,2.1944851440087078e-16
gaussian,signed,NaN,2.0,2.0,0.9,false,0.712,0.27786902258633817,0.8014384197295257,0.9993382227736421,183,2.411149104667436,24207,6796,3.5619482048263684,3.5988178555934014,true,true,2.304822999121825e-12,4.3889702880174157e-16
gaussian,signed,NaN,2.0,2.0,0.9,true,0.712,0.2778690225863018,0.0022511570384244413,0.5640692010210113,183,0.6836966551058431,54,41,1.3170731707317074,3.5988178555938726,true,true,2.304822999121825e-12,4.3889702880174157e-16
