Fstar,primals,time,dual_relgaps,dual_cert,reg,strategy,gaps,relgaps
15910.140914505446,19194.779067496085,3.1007630825042725,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.20644934388959432
15910.140914505446,19017.84892601963,3.3753840923309326,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.19532875467374727
15910.140914505446,18856.429408769152,3.500960111618042,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.1851830546376584
15910.140914505446,18708.500728593117,3.6150810718536377,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.17588529411052398
15910.140914505446,18572.449555716223,3.725680112838745,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.16733407048478882
15910.140914505446,18446.858176565038,3.836996078491211,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.15944027621696547
15910.140914505446,18330.670923295063,3.9530041217803955,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.15213755942178955
15910.140914505446,18222.771911420557,4.068003177642822,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.14535578341777358
15910.140914505446,18122.222910075943,4.1847991943359375,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.13903597758544795
15910.140914505446,18029.236570111483,4.485882997512817,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.13319150766754273
15910.140914505446,17943.058355363566,4.616015195846558,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.12777494880668766
15910.140914505446,17861.616909331424,4.785598993301392,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.1226561100440535
15910.140914505446,17785.014640680063,4.893148183822632,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.11784142807090256
15910.140914505446,17712.646601651402,4.954071044921875,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.11329288010910027
15910.140914505446,17644.197698584754,5.011557102203369,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.10899066157851249
15910.140914505446,17579.335625073276,5.076843976974487,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.10491388602636494
15910.140914505446,17517.76527105282,5.187141180038452,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.10104400490140762
15910.140914505446,17459.22476957597,5.296670198440552,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.09736455908182476
15910.140914505446,17403.49435014451,5.354803085327148,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.09386173533369252
15910.140914505446,17350.351804875387,5.5985541343688965,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.09052156722615104
15910.140914505446,17299.601953421734,5.6676740646362305,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.08733178708992462
15910.140914505446,17251.088947617493,5.725545167922974,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.08428259940108325
