problem,solver,tol,n_iter,primal,runtime,subopt
synthetic,BlitzL1,1.0e-6,-1,0.11716978651020082,0.013554334999753337,1.6237011735142914e-14
synthetic,BlitzL1,3.162277660168379e-7,-1,0.11716978651018474,0.015954365999732545,1.0e-15
synthetic,BlitzL1,1.0e-7,-1,0.11716978651018474,0.016009855999982392,1.0e-15
synthetic,BlitzL1,1.0e-10,-1,0.11716978651018459,0.0167936840002767,1.0e-15
synthetic,BlitzL1,1.0e-8,-1,0.11716978651018459,0.016907027999877755,1.0e-15
synthetic,BlitzL1,1.0e-9,-1,0.11716978651018459,0.016984723999939888,1.0e-15
synthetic,BlitzL1,3.162277660168379e-8,-1,0.11716978651018459,0.017024116999891703,1.0e-15
synthetic,BlitzL1,3.1622776601683795e-9,-1,0.11716978651018459,0.017121618000146555,1.0e-15
synthetic,BlitzL1,3.1622776601683795e-10,-1,0.11716978651018459,0.017385025000294263,1.0e-15
synthetic,BlitzL1,1.0e-5,-1,0.11716978651249385,0.018570171000192204,2.3092638912203256e-12
synthetic,LIBLINEAR,0.01,8,0.11760524016064955,0.020578943000145955,0.000435453650464962
synthetic,LIBLINEAR,0.1,5,0.12114063219352925,0.02087050599993745,0.003970845683344659
synthetic,LIBLINEAR,0.03162277660168379,8,0.11758422935016558,0.02313112599995293,0.0004144428399809885
synthetic,LIBLINEAR,0.0031622776601683794,12,0.11722354787388121,0.024223770999924454,5.376136369662776e-5
synthetic,LIBLINEAR,0.001,13,0.11720534130054086,0.025320669999928214,3.5554790356273624e-5
synthetic,LIBLINEAR,0.00031622776601683794,17,0.11716986950191217,0.03661367300037455,8.299172758741147e-8
synthetic,LIBLINEAR,0.0001,20,0.11716983135264349,0.044265778999942995,4.4842458898908255e-8
synthetic,LIBLINEAR,3.162277660168379e-6,28,0.11716978653850006,0.04867805499998212,2.8315474964735188e-11
synthetic,LIBLINEAR,3.1622776601683795e-5,24,0.11716978870258463,0.050330085000041436,2.1924000392914422e-9
synthetic,LIBLINEAR,1.0e-5,24,0.11716978681579515,0.05085502300016742,3.0561056463263014e-10
synthetic,LIBLINEAR,1.0e-6,27,0.11716978652497603,0.05182978299990282,1.479144584592973e-11
w1a,BlitzL1,0.1,-1,0.06340520808259113,0.014976912999827618,2.450148334261215e-5
w1a,BlitzL1,0.03162277660168379,-1,0.06340342378813237,0.01629643899968869,2.2717188883844552e-5
w1a,BlitzL1,0.01,-1,0.06338070744326647,0.039520354000160296,8.440179527502423e-10
w1a,BlitzL1,0.0031622776601683794,-1,0.06338070744326647,0.040189495000049646,8.440179527502423e-10
w1a,BlitzL1,0.001,-1,0.0633807070234135,0.04086173500036239,4.2416498091668586e-10
w1a,BlitzL1,0.00031622776601683794,-1,0.06338070670135983,0.04437494900003003,1.0211130552217895e-10
w1a,BlitzL1,0.0001,-1,0.0633807065993407,0.051487361999988934,9.217626661950362e-14
w1a,BlitzL1,3.1622776601683795e-5,-1,0.06338070659930231,0.053371971000160556,5.3790305543088834e-14
w1a,BlitzL1,1.0e-5,-1,0.06338070659930231,0.05357353099998363,5.3790305543088834e-14
w1a,BlitzL1,3.162277660168379e-6,-1,0.06338070659924852,0.060929176999707124,1.0e-15
w1a,BlitzL1,1.0e-7,-1,0.06338070659924852,0.06119418099979157,1.0e-15
w1a,BlitzL1,3.162277660168379e-8,-1,0.06338070659924852,0.061470370999813895,1.0e-15
w1a,BlitzL1,1.0e-8,-1,0.06338070659924852,0.0614726270000574,1.0e-15
w1a,BlitzL1,1.0e-9,-1,0.06338070659924852,0.06163393799988626,1.0e-15
w1a,BlitzL1,3.162277660168379e-7,-1,0.06338070659924852,0.06183914699977322,1.0e-15
w1a,BlitzL1,1.0e-10,-1,0.06338070659924852,0.061984339999980875,1.0e-15
w1a,BlitzL1,3.1622776601683795e-9,-1,0.06338070659924852,0.062137179000274045,1.0e-15
w1a,BlitzL1,1.0e-6,-1,0.06338070659924852,0.0622398699997575,1.0e-15
w1a,BlitzL1,3.1622776601683795e-10,-1,0.06338070659924852,0.06231383099975574,1.0e-15
w1a,LIBLINEAR,0.03162277660168379,6,0.0637454343345532,0.02503047400023206,0.0003647277353046735
w1a,LIBLINEAR,0.1,6,0.06367785300621155,0.026103225000042585,0.00029714640696303085
w1a,LIBLINEAR,0.001,10,0.06341149250718647,0.03412487900004635,3.078590793795244e-5
w1a,LIBLINEAR,0.0031622776601683794,10,0.06339650420865192,0.035263594999833,1.5797609403400692e-5
w1a,LIBLINEAR,0.01,10,0.06341430431793481,0.036117365999871254,3.359771868628736e-5
w1a,LIBLINEAR,0.00031622776601683794,13,0.06339558748083358,0.041422019000037835,1.4880881585063732e-5
w1a,LIBLINEAR,3.1622776601683795e-5,14,0.0633999237729569,0.044072826000046916,1.921717370838294e-5
w1a,LIBLINEAR,0.0001,15,0.06338254511473039,0.05224707600018519,1.8385154818695293e-6
w1a,LIBLINEAR,1.0e-5,23,0.06338070674401254,0.06501559900016218,1.447640202156819e-10
w1a,LIBLINEAR,3.162277660168379e-6,20,0.06338070682621702,0.06536542399999234,2.269684995503951e-10
w1a,LIBLINEAR,1.0e-6,22,0.06338070682039859,0.06909560399981274,2.211500704785152e-10
w1a,LIBLINEAR,1.0e-7,30,0.06338070660018764,0.08389272799968239,9.391237787426121e-13
w1a,LIBLINEAR,3.162277660168379e-7,29,0.06338070660009393,0.08779738200018983,8.454070776764411e-13
w1a,LIBLINEAR,3.162277660168379e-8,76,0.06338070659925912,0.17685403799987398,1.0602629885170245e-14
w1a,LIBLINEAR,1.0e-8,77,0.0633807065992504,0.17839527800015276,1.8735013540549517e-15
