n,passes,wall_time,final_relgap,reg,strategy,reached_tol,ρ,seed,s,p,μ0
500,41,0.5257132053375244,7.784440405237613e-11,0.2,gradient,true,0.6,2,10,1000,0.95
500,81,0.6561169624328613,8.495370212656142e-11,0.2,gradient,true,0.6,2,10,1000,0.99
500,207,1.7780029773712158,9.861924768967397e-11,0.02,exact,true,0.6,2,10,1000,0.5
500,255,2.5148911476135254,9.718855528033015e-11,0.02,exact,true,0.6,2,10,1000,0.7
500,213,2.062314987182617,9.7611459265638e-11,0.02,exact,true,0.6,2,10,1000,0.9
500,269,2.3958699703216553,9.167100822909825e-11,0.02,exact,true,0.6,2,10,1000,0.95
500,239,2.7597169876098633,8.747421596287152e-11,0.02,exact,true,0.6,2,10,1000,0.99
500,295,2.847916841506958,9.653430656018768e-11,0.01,exact,true,0.6,2,10,1000,0.5
500,402,4.0424439907073975,8.800291517988167e-11,0.01,exact,true,0.6,2,10,1000,0.7
500,356,3.596679925918579,9.21206183736681e-11,0.01,exact,true,0.6,2,10,1000,0.9
500,411,4.309924125671387,9.16304744440184e-11,0.01,exact,true,0.6,2,10,1000,0.95
500,564,8.637639999389648,9.029599286663015e-11,0.01,exact,true,0.6,2,10,1000,0.99
500,8,0.20672082901000977,6.372852840861202e-11,0.5,gradient,true,0.6,3,10,1000,0.5
500,15,0.13566088676452637,7.365350402256804e-11,0.5,gradient,true,0.6,3,10,1000,0.7
500,14,0.11231803894042969,6.656216416137368e-11,0.5,gradient,true,0.6,3,10,1000,0.9
500,17,0.28522300720214844,4.57590563156808e-11,0.5,gradient,true,0.6,3,10,1000,0.95
500,47,0.38906216621398926,7.496157581625073e-11,0.5,gradient,true,0.6,3,10,1000,0.99
500,26,0.19362807273864746,5.945320971649049e-11,0.2,gradient,true,0.6,3,10,1000,0.5
500,29,0.40406203269958496,9.027191379732374e-11,0.2,gradient,true,0.6,3,10,1000,0.7
500,30,0.22788214683532715,7.435546041239054e-11,0.2,gradient,true,0.6,3,10,1000,0.9
500,38,0.4692649841308594,8.03938430522533e-11,0.2,gradient,true,0.6,3,10,1000,0.95
500,129,1.018028974533081,9.825361107830759e-11,0.2,gradient,true,0.6,3,10,1000,0.99
500,53,0.4336068630218506,7.78213089284804e-11,0.1,gradient,true,0.6,3,10,1000,0.5
500,63,0.7687849998474121,7.758758121237321e-11,0.1,gradient,true,0.6,3,10,1000,0.7
500,66,0.5480170249938965,8.013081828794619e-11,0.1,gradient,true,0.6,3,10,1000,0.9
500,80,0.8835880756378174,8.668852880061929e-11,0.1,gradient,true,0.6,3,10,1000,0.95
500,322,2.909383773803711,9.810336334367323e-11,0.1,gradient,true,0.6,3,10,1000,0.99
500,114,1.0068819522857666,9.375666839215711e-11,0.05,gradient,true,0.6,3,10,1000,0.5
500,122,1.2866311073303223,9.240756871219585e-11,0.05,gradient,true,0.6,3,10,1000,0.7
500,150,1.3179948329925537,9.359141166110353e-11,0.05,gradient,true,0.6,3,10,1000,0.9
