p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.01,2.0,exact,38,4.6653262895292036e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,39,3.9356360508476374e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,40,3.32157086013975e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,41,2.804242777037779e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,42,2.3681112874942638e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,43,2.000200439583205e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,44,1.689710839519099e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,45,1.4275579992497046e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,46,1.206150608241753e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,47,1.0191030529004839e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,48,8.610601313008871e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,49,7.275058711332967e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,50,6.147696698229049e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.005,2.0,exact,1,3.241393157315992,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,2,0.5608587909826466,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,3,0.1515640487010908,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,4,0.04977410519690213,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,5,0.019518919608471966,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,6,0.009751962119113767,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,7,0.005290673395891916,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,8,0.002742817199437569,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,9,0.00148822017987649,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,10,0.0008352144380949472,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,11,0.0004765161770792218,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,12,0.00027444579818685483,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,13,0.00016115070072187973,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,14,9.557342045750996e-5,$\bar{p}_K = 0.005$,amp = 2.0
