primals,time,strategy,gaps,relgaps,dataset
-10933.566265730897,0.31343793869018555,gradient,3950.864827234538,0.36135188932981027,congress109
-10937.659569450532,0.31708288192749023,gradient,3934.3764102987607,0.35970916678442655,congress109
-10941.73355592907,0.3214709758758545,gradient,3935.007604508748,0.35963292145571024,congress109
-10946.018226542388,0.3249788284301758,gradient,3936.5381705493146,0.35963197658522283,congress109
-10950.234248355679,0.3287830352783203,gradient,3935.506873553919,0.3593993319498975,congress109
-10954.140863222528,0.3321540355682373,gradient,3932.921828401506,0.3590351701251087,congress109
-10957.791730877037,0.336122989654541,gradient,3932.344335182637,0.3588628467998726,congress109
-10961.394712359486,0.33982086181640625,gradient,3931.459307119643,0.3586641490691635,congress109
-10964.889007771792,0.3431689739227295,gradient,3929.7195248178396,0.35839118134552006,congress109
-10968.174486122383,0.34673094749450684,gradient,3912.4528150616934,0.35670957095111605,congress109
-10971.468766754118,0.3502659797668457,gradient,3901.5510792013556,0.35560882158493534,congress109
-10974.715350594866,0.35408997535705566,gradient,3898.3828937038634,0.3552149435468099,congress109
-10977.753407140219,0.3574669361114502,gradient,3904.7214197710073,0.35569403638009156,congress109
-10980.657093039943,0.3610959053039551,gradient,3904.570183370528,0.3555862049317092,congress109
-10983.465974611041,0.36450791358947754,gradient,3904.060338171377,0.3554488489513104,congress109
-10986.227838292481,0.3689279556274414,gradient,3899.0389360882673,0.35490242815629336,congress109
-10988.926307208223,0.37296485900878906,gradient,3894.113393493404,0.3543670495759943,congress109
-10991.540117018756,0.37663793563842773,gradient,3891.322793728388,0.3540288942496108,congress109
-10993.865659108418,0.38047194480895996,gradient,3894.0636947805942,0.3542033180616831,congress109
-10996.052863945286,0.38402795791625977,gradient,3888.640925039812,0.353639708098366,congress109
-10998.124752500134,0.38790392875671387,gradient,3883.0437026083728,0.35306416229963794,congress109
-11000.09063440567,0.39186787605285645,gradient,3880.3239245747027,0.35275381390385746,congress109
-11001.991941002092,0.39540600776672363,gradient,3885.5573350461837,0.3531685312880057,congress109
-11003.768851324923,0.39888501167297363,gradient,3898.5292054801394,0.35429035798136854,congress109
-11005.45984547731,0.40263795852661133,gradient,3907.5782398608335,0.355058152473897,congress109
-11007.110351660654,0.40602588653564453,gradient,3910.3906734873017,0.3552604224502334,congress109
-11008.951591798126,0.40966296195983887,gradient,3911.4029198646276,0.3552929529437386,congress109
-14412.02576857114,2.5930099487304688,unguarded_newton,3.798704710789025e-5,2.635788175644958e-9,congress109
-14412.025768571142,2.596329927444458,unguarded_newton,3.7079202229506336e-5,2.5727959986281996e-9,congress109
-14412.025768571142,2.5998849868774414,unguarded_newton,3.6169634768157266e-5,2.509684297611636e-9,congress109
-14412.02576857114,2.603205919265747,unguarded_newton,3.5259712603874505e-5,2.446547985000604e-9,congress109
-14412.025768571137,2.6067399978637695,unguarded_newton,3.435073267610278e-5,2.383477050881546e-9,congress109
-14412.025768571135,2.61006498336792,unguarded_newton,3.34438791469438e-5,2.3205536601159963e-9,congress109
-14412.025768571133,2.613602876663208,unguarded_newton,3.254031980759464e-5,2.2578588416457446e-9,congress109
-14412.025768571137,2.616938829421997,unguarded_newton,3.164110421494115e-5,2.1954654205477577e-9,congress109
-14412.025768571137,2.6208670139312744,unguarded_newton,3.074726555496454e-5,2.133445085979259e-9,congress109
