n,Fstar,time,reg,strategy,gaps,primals,dual_relgaps,dual_cert,it,K,s,relgaps,p
500,146.30070252466783,0.7477321624755859,0.05,gradient,4.065997699256513,150.36670022392434,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.027792058610046275,200
500,146.30070252466783,0.7573590278625488,0.05,gradient,3.9694708713604427,150.27017339602827,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.02713227484803874,200
500,146.30070252466783,0.7663331031799316,0.05,gradient,3.8777121426653594,150.1784146673332,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.026505082174923505,200
500,146.30070252466783,0.7751522064208984,0.05,gradient,3.790242085911615,150.09094461057944,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.025907203591674758,200
500,146.30070252466783,0.7860610485076904,0.05,gradient,3.706811628367177,150.007514153035,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.025336936627096303,200
500,146.30070252466783,0.794450044631958,0.05,gradient,3.627003231264581,149.9277057559324,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.024791427304684543,200
500,146.30070252466783,0.8028531074523926,0.05,gradient,3.5506310525082085,149.85133357717604,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.024269405349639624,200
500,146.30070252466783,0.8117971420288086,0.05,gradient,3.4773637519211604,149.778066276589,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.023768605973268245,200
500,146.30070252466783,0.8206980228424072,0.05,gradient,3.4070220719475515,149.70772459661538,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.02328780390766129,200
500,146.30070252466783,0.8298599720001221,0.05,gradient,3.3393935407549975,149.64009606542282,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.022825546857452313,200
500,146.30070252466783,0.8386201858520508,0.05,gradient,3.274300143169995,149.57500266783782,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.022380618046710432,200
500,146.30070252466783,0.8473701477050781,0.05,gradient,3.2115311792013017,149.51223370386913,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.02195157729102363,200
500,146.30070252466783,0.8564891815185547,0.05,gradient,3.1510156907306452,149.45171821539847,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.021537939574824333,200
500,146.30070252466783,0.8654689788818359,0.05,gradient,3.092545793828293,149.39324831849612,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.021138283962148834,200
500,146.30070252466783,0.8746781349182129,0.05,gradient,3.0360074191952435,149.33670994386307,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.020751830762284554,200
500,146.30070252466783,0.8839900493621826,0.05,gradient,2.9812732103995927,149.28197573506742,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.02037770946381422,200
500,146.30070252466783,0.8948860168457031,0.05,gradient,2.928228797896452,149.22893132256428,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.020015138323773406,200
500,146.30070252466783,0.9035320281982422,0.05,gradient,2.8767828717230373,149.17748539639086,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.019663493216910435,200
500,146.30070252466783,0.9120800495147705,0.05,gradient,2.82683537967813,149.12753790434596,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.01932209026270052,200
500,146.30070252466783,0.9205751419067383,0.05,gradient,2.778304549230853,149.07900707389868,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.018990370526501075,200
500,146.30070252466783,0.9288840293884277,0.05,gradient,2.7311171268849534,149.03181965155278,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.018667833303291612,200
500,146.30070252466783,0.9370460510253906,0.05,gradient,2.685195251583025,148.98589777625085,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.018353946394278408,200
500,146.30070252466783,0.9447879791259766,0.05,gradient,2.6404790470215005,148.94118157168933,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.018048300530725668,200
500,146.30070252466783,0.9525480270385742,0.05,gradient,2.5969025491933735,148.8976050738612,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.017750444833000777,200
500,146.30070252466783,0.9606540203094482,0.05,gradient,2.554416342160266,148.8551188668281,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.0174600415314449,200
500,146.30070252466783,0.9712140560150146,0.05,gradient,2.5129609244475546,148.81366344911538,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.017176683919366983,200
500,146.30070252466783,0.9794621467590332,0.05,gradient,2.472491287663445,148.77319381233127,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.01690006435373444,200
500,146.30070252466783,0.9882431030273438,0.05,gradient,2.432970122283024,148.73367264695085,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.016629927815095757,200
500,146.30070252466783,0.9970600605010986,0.05,gradient,2.3943635775361543,148.69506610220398,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.016366042925408643,200
500,146.30070252466783,1.0059680938720703,0.05,gradient,2.3566291977597302,148.65733172242756,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.01610811949014652,200
500,146.30070252466783,1.015038013458252,0.05,gradient,2.3197287342093205,148.62043125887715,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.015855896070069726,200
500,146.30070252466783,1.024001121520996,0.05,gradient,2.2836233148727274,148.58432583954055,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.015609106965755579,200
500,146.30070252466783,1.0343291759490967,0.05,gradient,2.2482845589118483,148.54898708357968,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.015367558187444548,200
500,146.30070252466783,1.042971134185791,0.05,gradient,2.2136865016223055,148.51438902629013,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.015131072260224143,200
500,146.30070252466783,1.0518321990966797,0.05,gradient,2.1797988570173175,148.48050138168514,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.014899442172191761,200
500,146.30070252466783,1.060962200164795,0.05,gradient,2.146595939896798,148.44729846456462,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.014672492358913039,200
500,146.30070252466783,1.0698890686035156,0.05,gradient,2.114067481985643,148.41477000665347,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.0144501526342923,200
500,146.30070252466783,1.0790071487426758,0.05,gradient,2.0821776687503757,148.3828801934182,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.014232178197499078,200
500,146.30070252466783,1.0886380672454834,0.05,gradient,2.050913426928304,148.35161595159613,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.014018479689682272,200
500,146.30070252466783,1.0977771282196045,0.05,gradient,2.0202460516696306,148.32094857633746,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.013808860906385572,200
500,146.30070252466783,1.1067230701446533,0.05,gradient,1.9901638516129765,148.2908663762808,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.013603241934381102,200
500,146.30070252466783,1.1156651973724365,0.05,gradient,1.9606407940506756,148.2613433187185,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.013401444833937766,200
500,146.30070252466783,1.1243891716003418,0.05,gradient,1.9316661049148252,148.23236862958265,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.013203395961746158,200
500,146.30070252466783,1.1340210437774658,0.05,gradient,1.9032205146491208,148.20392303931695,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.013008963605818762,200
500,146.30070252466783,1.143036127090454,0.05,gradient,1.8752913921615004,148.17599391682933,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.012818061429645608,200
500,146.30070252466783,1.1524271965026855,0.05,gradient,1.8478631958457186,148.14856572051355,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.012630583202661994,200
500,146.30070252466783,1.1615960597991943,0.05,gradient,1.8209422570799916,148.12164478174782,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.012446572201339646,200
500,146.30070252466783,1.1709730625152588,0.05,gradient,1.7944950208636214,148.09519754553145,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.01226579906929053,200
500,146.30070252466783,1.1796720027923584,0.05,gradient,1.768512456314653,148.06921498098248,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.012088202078294624,200
500,146.30070252466783,1.1881561279296875,0.05,gradient,1.7429816782097305,148.04368420287756,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.011913693154794288,200
500,146.30070252466783,1.1969079971313477,0.05,gradient,1.717898583986539,148.01860110865437,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.011742244256803097,200
500,146.30070252466783,1.2055480480194092,0.05,gradient,1.693244509803094,147.99394703447092,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.011573727812534565,200
500,146.30070252466783,1.2143120765686035,0.05,gradient,1.6690119131139625,147.9697144377818,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.011408092266901792,200
500,146.30070252466783,1.2225570678710938,0.05,gradient,1.6451958760470689,147.9458984007149,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.011245304005082762,200
500,146.30070252466783,1.2314400672912598,0.05,gradient,1.621775154334017,147.92247767900184,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.01108521781746447,200
500,146.30070252466783,1.240657091140747,0.05,gradient,1.5987460255124404,147.89944855018027,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.010927808260133781,200
500,146.30070252466783,1.2493500709533691,0.05,gradient,1.5761016134377996,147.87680413810563,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.010773028333011952,200
500,146.30070252466783,1.2580881118774414,0.05,gradient,1.553829096017239,147.85453162068507,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.010620790394053283,200
500,146.30070252466783,1.2671611309051514,0.05,gradient,1.5319235346850064,147.83262605935283,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.010471060686989579,200
500,146.30070252466783,1.2755041122436523,0.05,gradient,1.5103848145823804,147.8110873392502,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.010323838426734238,200
500,146.30070252466783,1.284208059310913,0.05,gradient,1.4892093876093213,147.78991191227715,Float64(1000),5.0413609193264335e-5,seed = 1,5,5,0.01017909936118198,200
500,247.54281765838203,0.38877415657043457,0.05,exact,6.499881806121266e-7,247.54281830837022,Float64(50),5.100231322526972e-6,seed = 2,5,5,2.625760612893781e-9,200
500,247.54281765838203,0.3975541591644287,0.05,exact,4.6581038759541116e-7,247.54281812419242,Float64(50),5.100231322526972e-6,seed = 2,5,5,1.881736630461427e-9,200
500,247.54281765838203,0.40549802780151367,0.05,exact,3.299224431430048e-7,247.54281798830448,Float64(50),5.100231322526972e-6,seed = 2,5,5,1.3327893988760749e-9,200
500,247.54281765838203,0.4123680591583252,0.05,exact,2.2957505052545457e-7,247.54281788795709,Float64(50),5.100231322526972e-6,seed = 2,5,5,9.274155182408741e-10,200
500,247.54281765838203,0.4186692237854004,0.05,exact,1.5539430364697182e-7,247.54281781377634,Float64(50),5.100231322526972e-6,seed = 2,5,5,6.277471716485894e-10,200
500,247.54281765838203,0.4252932071685791,0.05,exact,1.0039616427093279e-7,247.5428177587782,Float64(50),5.100231322526972e-6,seed = 2,5,5,4.055709037354624e-10,200
500,247.54281765838203,0.43156003952026367,0.05,exact,5.963954663457116e-8,247.54281771802158,Float64(50),5.100231322526972e-6,seed = 2,5,5,2.4092618480603977e-10,200
500,247.54281765838203,0.4387540817260742,0.05,exact,2.93328525913239e-8,247.5428176877149,Float64(50),5.100231322526972e-6,seed = 2,5,5,1.184960762295446e-10,200
500,247.54281765838203,0.4453270435333252,0.05,exact,6.790344286855543e-9,247.54281766517238,Float64(50),5.100231322526972e-6,seed = 2,5,5,1.0e-10,200
500,444.82788634384883,1.9073486328125e-5,0.05,exact,359.891069873207,804.7189562170558,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.8090568980088936,200
