Fstar,time,final_relgap,reg,primal_relgaps,amplitude,gaps,primals,dual_relgaps,it,pass,s,relgaps,p_K,passes,duals,strategy,dual_bound,reached_tol,dual_cert,K,p,n
146.3007024228878,0.8966710567474365,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.6404791626087274,148.94118157163456,Float64(1000),1,62,5,0.01804830133334781,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9032540321350098,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.5969026647859152,148.89760507381175,Float64(1000),1,63,5,0.01775044563545203,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9103069305419922,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.5544164577558206,148.85511886678165,Float64(1000),1,64,5,0.017460042333714718,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9201340675354004,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.5129610400469176,148.81366344907275,Float64(1000),1,65,5,0.017176684721465704,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9297969341278076,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.4724914032775587,148.7731938123034,Float64(1000),1,66,5,0.016900065155741543,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9401819705963135,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.432970237924593,148.73367264695042,Float64(1000),1,67,5,0.016629928617102597,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9522731304168701,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.3943636931972208,148.69506610222305,Float64(1000),1,68,5,0.016366043727365165,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9629840850830078,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.356629313433217,148.65733172245905,Float64(1000),1,69,5,0.016108120292008504,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.973567008972168,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.3197288498866726,148.6204312589125,Float64(1000),1,70,5,0.01585589687178266,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9834339618682861,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.283623430551387,148.58432583957722,Float64(1000),1,71,5,0.015609107767305761,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
