n,p_K,Fstar,passes,time,final_relgap,reg,strategy,amplitude,gaps,primals,reached_tol,dual_relgaps,dual_cert,it,pass,K,s,relgaps,p
500,0.05,146.30070252466783,1000,0.5117659568786621,2.2616595911789793e-6,0.05,gradient,0.5,2.8767828717230373,149.17748539639086,false,Float64(1000),5.0413609193264335e-5,1,57,5,5,0.019663493216910435,200
500,0.05,146.30070252466783,1000,0.5177018642425537,2.2616595911789793e-6,0.05,gradient,0.5,2.82683537967813,149.12753790434596,false,Float64(1000),5.0413609193264335e-5,1,58,5,5,0.01932209026270052,200
500,0.05,146.30070252466783,1000,0.5241780281066895,2.2616595911789793e-6,0.05,gradient,0.5,2.778304549230853,149.07900707389868,false,Float64(1000),5.0413609193264335e-5,1,59,5,5,0.018990370526501075,200
500,0.05,146.30070252466783,1000,0.5299198627471924,2.2616595911789793e-6,0.05,gradient,0.5,2.7311171268849534,149.03181965155278,false,Float64(1000),5.0413609193264335e-5,1,60,5,5,0.018667833303291612,200
500,0.05,146.30070252466783,1000,0.5356628894805908,2.2616595911789793e-6,0.05,gradient,0.5,2.685195251583025,148.98589777625085,false,Float64(1000),5.0413609193264335e-5,1,61,5,5,0.018353946394278408,200
500,0.05,146.30070252466783,1000,0.5410950183868408,2.2616595911789793e-6,0.05,gradient,0.5,2.6404790470215005,148.94118157168933,false,Float64(1000),5.0413609193264335e-5,1,62,5,5,0.018048300530725668,200
500,0.05,146.30070252466783,1000,0.5465099811553955,2.2616595911789793e-6,0.05,gradient,0.5,2.5969025491933735,148.8976050738612,false,Float64(1000),5.0413609193264335e-5,1,63,5,5,0.017750444833000777,200
500,0.05,146.30070252466783,1000,0.5527448654174805,2.2616595911789793e-6,0.05,gradient,0.5,2.554416342160266,148.8551188668281,false,Float64(1000),5.0413609193264335e-5,1,64,5,5,0.0174600415314449,200
500,0.05,146.30070252466783,1000,0.5586109161376953,2.2616595911789793e-6,0.05,gradient,0.5,2.5129609244475546,148.81366344911538,false,Float64(1000),5.0413609193264335e-5,1,65,5,5,0.017176683919366983,200
500,0.05,146.30070252466783,1000,0.5643699169158936,2.2616595911789793e-6,0.05,gradient,0.5,2.472491287663445,148.77319381233127,false,Float64(1000),5.0413609193264335e-5,1,66,5,5,0.01690006435373444,200
500,0.05,146.30070252466783,1000,0.5709869861602783,2.2616595911789793e-6,0.05,gradient,0.5,2.432970122283024,148.73367264695085,false,Float64(1000),5.0413609193264335e-5,1,67,5,5,0.016629927815095757,200
500,0.05,146.30070252466783,1000,0.5771579742431641,2.2616595911789793e-6,0.05,gradient,0.5,2.3943635775361543,148.69506610220398,false,Float64(1000),5.0413609193264335e-5,1,68,5,5,0.016366042925408643,200
500,0.05,146.30070252466783,1000,0.5834119319915771,2.2616595911789793e-6,0.05,gradient,0.5,2.3566291977597302,148.65733172242756,false,Float64(1000),5.0413609193264335e-5,1,69,5,5,0.01610811949014652,200
