p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.05,0.5,Gradient,95,0.0013596530357371079,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,96,0.00133187239597277,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,97,0.0013047869129553956,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,98,0.0012783773118712218,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,99,0.0012526195620618532,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,100,0.0012274933109119753,$\bar{p}_K = 0.05$,amp = 0.5
0.005,2.0,Exact,901,0.5717958632513382,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,902,0.571795863251338,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,903,0.5717958632513372,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,904,0.5717958632513368,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,905,0.5717958632513364,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,906,0.5717958632513358,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,907,0.5717958632513356,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,908,0.5717958632513352,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,909,0.5717958632513346,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,910,0.5717958632513342,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,911,0.5717958632513332,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,912,0.5717958632513328,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,913,0.5717958632513324,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,914,0.571795863251332,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,915,0.5717958632513316,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,916,0.5717958632513311,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,917,0.5717958632513306,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,918,0.5717958632513304,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,919,0.57179586325133,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,920,0.5717958632513294,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,921,0.5717958632513291,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,922,0.5717958632513288,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,923,0.5717958632513281,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,924,0.5717958632513276,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,925,0.5717958632513274,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,926,0.5717958632513276,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,927,0.5717958632513269,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,928,0.5717958632513266,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,929,0.5717958632513269,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,930,0.5717958632513268,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,931,0.5717958632513268,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,932,0.5717958632513264,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,933,0.5717958632513259,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,934,0.5717958632513261,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,935,0.5717958632513258,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,936,0.5717958632513258,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,937,0.5717958632513256,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,938,0.5717958632513251,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,939,0.5717958632513251,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,940,0.5717958632513249,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,941,0.5717958632513249,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,942,0.5717958632513246,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,943,0.5717958632513246,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,944,0.5717958632513244,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,945,0.5717958632513244,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,946,0.5717958632513241,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,947,0.5717958632513244,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,948,0.5717958632513244,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,949,0.5717958632513244,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,950,0.5717958632513244,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,951,0.5717958632513244,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,952,0.5717958632513241,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,953,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,954,0.5717958632513238,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,955,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,956,0.5717958632513238,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,957,0.5717958632513236,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,958,0.5717958632513236,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,959,0.5717958632513234,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,960,0.5717958632513234,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,961,0.5717958632513231,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,962,0.5717958632513231,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,963,0.5717958632513229,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,964,0.5717958632513224,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,965,0.5717958632513227,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,966,0.5717958632513227,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,967,0.5717958632513224,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,968,0.5717958632513226,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,969,0.5717958632513226,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,970,0.5717958632513227,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,971,0.5717958632513227,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,972,0.5717958632513226,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,973,0.5717958632513229,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,974,0.5717958632513227,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,975,0.5717958632513229,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,976,0.5717958632513227,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,977,0.5717958632513231,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,978,0.5717958632513234,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,979,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,980,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,981,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,982,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,983,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,984,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,985,0.5717958632513238,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,986,0.5717958632513236,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,987,0.5717958632513238,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,988,0.5717958632513236,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,989,0.5717958632513236,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,990,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,991,0.5717958632513236,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,992,0.5717958632513239,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,993,0.5717958632513231,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,994,0.5717958632513234,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,995,0.5717958632513231,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,996,0.5717958632513234,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,997,0.5717958632513234,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,998,0.5717958632513231,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,999,0.5717958632513234,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,Exact,1000,0.5717958632513234,$\bar{p}_K = 0.005$,amp = 2.0
