p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.005,2.0,exact,919,0.57179586325133,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,920,0.5717958632513294,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,921,0.5717958632513291,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,922,0.5717958632513288,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,923,0.5717958632513281,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,924,0.5717958632513276,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,925,0.5717958632513274,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,926,0.5717958632513276,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,927,0.5717958632513269,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,928,0.5717958632513266,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,929,0.5717958632513269,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,930,0.5717958632513268,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,931,0.5717958632513268,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,932,0.5717958632513264,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,933,0.5717958632513259,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,934,0.5717958632513261,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,935,0.5717958632513258,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,936,0.5717958632513258,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,937,0.5717958632513256,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,938,0.5717958632513251,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,939,0.5717958632513251,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,940,0.5717958632513249,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,941,0.5717958632513249,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,942,0.5717958632513246,$\pi_K = 0.005$,amp = 2.0
