commit,cell_id,cell_name,mu0,reg,seed,n,p,lambda_,n_iter,stop_crit,primal,runtime,converged,intercept,strategy
b03644fe,45,cell_045,0.9,0.1,2,500,1000,0.01295142485151917,809,9.997054665138171e-9,0.3493185730456879,5.879652974000237,true,1.610664604800917,gradient
b03644fe,46,cell_046,0.9,0.05,2,500,1000,0.006475712425759585,1868,9.971044234686338e-9,0.24053366154288436,15.127930945999651,true,2.060415384749531,gradient
b03644fe,47,cell_047,0.9,0.02,2,500,1000,0.002590284970303834,5000,2.4371159467814415e-8,0.13080775950682716,43.45497802099999,false,2.724443063142351,gradient
b03644fe,48,cell_048,0.9,0.01,2,500,1000,0.001295142485151917,5000,6.721678378551664e-6,0.0783221705954156,44.43207272299969,false,3.223515529006818,gradient
b03644fe,49,cell_049,0.95,0.5,2,500,1000,0.057877326106195295,255,9.665031492855913e-9,0.4967304566251292,1.2187694449994524,true,1.3773671517101052,gradient
b03644fe,50,cell_050,0.95,0.2,2,500,1000,0.02315093044247812,732,9.826392824284492e-9,0.3853939656454441,4.124850244000299,true,1.8349125373470954,gradient
b03644fe,51,cell_051,0.95,0.1,2,500,1000,0.01157546522123906,1449,9.990428170875142e-9,0.28157546111922205,9.649942632999227,true,2.3886228022032614,gradient
b03644fe,52,cell_052,0.95,0.05,2,500,1000,0.00578773261061953,3216,9.9670838681256e-9,0.18670452783285701,22.852459877,true,3.076668103567418,gradient
b03644fe,53,cell_053,0.95,0.02,2,500,1000,0.002315093044247812,5000,2.0586257544849625e-6,0.09879927102895332,39.49589654400006,false,4.0447728330869674,gradient
b03644fe,54,cell_054,0.95,0.01,2,500,1000,0.001157546522123906,5000,4.4792452294605876e-5,0.058464550700793934,41.6179620949988,false,4.707820875464353,gradient
b03644fe,55,cell_055,0.99,0.5,2,500,1000,0.031177537474844554,800,9.886437948646714e-9,0.3213204541207958,3.964940360001492,true,2.289109175165302,gradient
