problem,tol,n_iter,primal,runtime,subopt
synthetic,1.77827941e-6,1030,0.1171697906206221,7.233343299000012,4.097426342664079e-9
synthetic,5.6234132519e-5,1117,0.11717382545238639,5.098489174000008,4.038929190625096e-6
synthetic,0.0001,1225,0.11718245921728257,5.501283061999999,1.2672694086807157e-5
synthetic,1.0e-6,1239,0.11716978780813751,8.227153459999982,1.2849417502236449e-9
synthetic,1.77827941004e-5,1453,0.11717019410294242,6.731657421000023,4.075797466612796e-7
synthetic,3.16227766017e-5,1463,0.11717106675945926,6.642429901000014,1.2802362635011555e-6
synthetic,1.77827941e-7,1476,0.1171697865513148,9.44843982599997,2.8119034878315574e-11
synthetic,1.0e-7,1478,0.11716978652319576,9.52345143499997,1.0e-15
synthetic,3.16227766e-7,1487,0.11716978663993184,9.423797132000004,1.1673607913653683e-10
synthetic,5.623413252e-7,1500,0.11716978692091237,9.347267093999989,3.977166096458262e-10
synthetic,5.6234132519e-6,1540,0.11716982749714899,8.819398514,4.097395323032771e-8
synthetic,1.0e-5,1549,0.117169915901081,7.399571637999998,1.293778852384797e-7
synthetic,3.1622776602e-6,1572,0.117169799472431,9.466020361999995,1.2949235239645418e-8
w1a,0.1,2,0.5521405767570615,0.01671996099997841,0.4887598701432403
w1a,0.0562341325190349,10,0.3019698575745602,0.09427723600003901,0.23858915096073896
w1a,0.0316227766016838,21,0.20941537687036108,0.2157523999999853,0.14603467025653985
w1a,0.0177827941003892,44,0.15400635454452077,0.4536597730000267,0.09062564793069955
w1a,0.01,77,0.11279642883217192,0.7967630969999959,0.049415722218350694
w1a,0.0056234132519035,171,0.08288282634644772,1.6807338510000136,0.0195021197326265
w1a,0.0031622776601684,171,0.06895469072910532,1.9109276550000232,0.005573984115284092
w1a,0.0017782794100389,290,0.06587699616490433,3.0254150000000095,0.0024962895510831085
w1a,0.001,460,0.06436022368166536,4.622569547000012,0.0009795170678441323
w1a,0.0005623413251903,560,0.06374227411239,6.3814500859999725,0.0003615674985687767
w1a,0.0003162277660168,872,0.06350693038950346,9.306145241000024,0.00012622377568223542
w1a,0.0001778279410039,1221,0.06342304561575529,12.978811860999997,4.233900193406637e-5
w1a,0.0001,1518,0.06339457791773595,15.021485477999988,1.3871303914725353e-5
w1a,1.77827941e-6,1547,0.06338071120249039,16.743008082000017,4.588669166860626e-9
w1a,5.6234132519e-5,1614,0.06338518926875959,16.163147061000018,4.482654938367525e-6
w1a,3.1622776602e-6,1720,0.06338072114182738,18.32874697899996,1.4528006159197915e-8
w1a,3.16227766017e-5,1857,0.06338213952896063,18.51586018300003,1.432915139404356e-6
w1a,3.16227766e-7,1869,0.06338070674508078,20.371786828999973,1.3125955877768547e-10
w1a,1.0e-6,1880,0.06338070805522934,20.064322597,1.4414081178637517e-9
w1a,1.77827941004e-5,1893,0.06338116385859463,19.066466366999975,4.5724477340525205e-7
w1a,5.6234132519e-6,1952,0.0633807525048958,20.51765671100003,4.58910745793073e-8
w1a,1.77827941e-7,1957,0.06338070664529472,22.264542487000085,3.147349048049364e-11
w1a,1.0e-5,1980,0.06338085165111015,20.099782572000038,1.4503728892889534e-7
w1a,1.0e-7,1987,0.06338070661382122,21.680642198999976,1.0e-15
w1a,5.623413252e-7,2000,0.06338070714844332,21.636727768000014,5.346220965929405e-10
