problem,type,thresh,npasses,primal,final_lambda,runtime,jerr,subopt,mode
synthetic,Newton,1.0e-9,1005,0.11716978701368,0.00374562643338918,0.0370000000000001,0,5.032100014457086e-10,Newton
synthetic,Newton,3.16227766016838e-10,1119,0.117169786692484,0.00374562643338918,0.048,0,1.8201400109330024e-10,Newton
synthetic,Newton,1.0e-10,1244,0.11716978658814,0.00374562643338918,0.0449999999999999,0,7.767000931302448e-11,Newton
synthetic,Newton,3.16227766016838e-11,1361,0.117169786549017,0.00374562643338918,0.054,0,3.8546998926136666e-11,Newton
synthetic,Newton,1.0e-11,1510,0.117169786529428,0.00374562643338918,0.0539999999999998,0,1.895800183504548e-11,Newton
synthetic,Newton,3.16227766016838e-12,1672,0.117169786520146,0.00374562643338918,0.0800000000000001,0,9.675996115454666e-12,Newton
synthetic,Newton,1.0e-12,1866,0.117169786513053,0.00374562643338918,0.0590000000000002,0,2.5830032557294658e-12,Newton
synthetic,Newton,3.16227766016838e-13,2072,0.117169786511044,0.00374562643338918,0.0710000000000002,0,5.739991815190137e-13,Newton
synthetic,Newton,1.0e-13,2271,0.11716978651047,0.00374562643338918,0.0750000000000002,0,1.0e-15,Newton
synthetic,modified.Newton,0.1,50,0.11967230958137,0.00374562643338918,0.0180000000000002,0,0.0025025230709000007,modified.Newton
synthetic,modified.Newton,0.0316227766016838,50,0.11967230958137,0.00374562643338918,0.0149999999999997,0,0.0025025230709000007,modified.Newton
synthetic,modified.Newton,0.01,50,0.11967230958137,0.00374562643338918,0.0259999999999998,0,0.0025025230709000007,modified.Newton
synthetic,modified.Newton,0.00316227766016838,50,0.11967230958137,0.00374562643338918,0.016,0,0.0025025230709000007,modified.Newton
synthetic,modified.Newton,0.001,50,0.11967230958137,0.00374562643338918,0.012,0,0.0025025230709000007,modified.Newton
synthetic,modified.Newton,0.000316227766016838,89,0.119070688930061,0.00374562643338918,0.02,0,0.0019009024195909968,modified.Newton
synthetic,modified.Newton,0.0001,170,0.117866002669324,0.00374562643338918,0.016,0,0.0006962161588539989,modified.Newton
synthetic,modified.Newton,3.16227766016838e-5,232,0.117455863201895,0.00374562643338918,0.0169999999999999,0,0.0002860766914249968,modified.Newton
synthetic,modified.Newton,1.0e-5,304,0.117320232530839,0.00374562643338918,0.0249999999999999,0,0.00015044602036899668,modified.Newton
synthetic,modified.Newton,3.16227766016838e-6,391,0.117242947381159,0.00374562643338918,0.024,0,7.31608706889958e-5,modified.Newton
synthetic,modified.Newton,1.0e-6,577,0.117204597025241,0.00374562643338918,0.0249999999999999,0,3.4810514770999834e-5,modified.Newton
synthetic,modified.Newton,3.16227766016838e-7,777,0.117184060215011,0.00374562643338918,0.0460000000000003,0,1.4273704541004073e-5,modified.Newton
synthetic,modified.Newton,1.0e-7,1005,0.117175368146716,0.00374562643338918,0.0500000000000003,0,5.5816362460048285e-6,modified.Newton
synthetic,modified.Newton,3.16227766016838e-8,1295,0.117171763073061,0.00374562643338918,0.0510000000000002,0,1.9765625910023177e-6,modified.Newton
synthetic,modified.Newton,1.0e-8,1668,0.117170518869064,0.00374562643338918,0.052,0,7.323585940050004e-7,modified.Newton
synthetic,modified.Newton,3.16227766016838e-9,2111,0.117170063153437,0.00374562643338918,0.0699999999999998,0,2.766429670064685e-7,modified.Newton
synthetic,modified.Newton,1.0e-9,2644,0.117169891698267,0.00374562643338918,0.0860000000000003,0,1.051877970004167e-7,modified.Newton
synthetic,modified.Newton,3.16227766016838e-10,3282,0.117169823231075,0.00374562643338918,0.105,0,3.6720605001150375e-8,modified.Newton
synthetic,modified.Newton,1.0e-10,4021,0.117169798451837,0.00374562643338918,0.122,0,1.1941367006329529e-8,modified.Newton
synthetic,modified.Newton,3.16227766016838e-11,4837,0.117169790710166,0.00374562643338918,0.14,0,4.199696007622933e-9,modified.Newton
synthetic,modified.Newton,1.0e-11,5732,0.117169787983324,0.00374562643338918,0.178,0,1.4728540054242956e-9,modified.Newton
synthetic,modified.Newton,3.16227766016838e-12,6743,0.117169787037573,0.00374562643338918,0.193,0,5.271030001363641e-10,modified.Newton
synthetic,modified.Newton,1.0e-12,7898,0.117169786719756,0.00374562643338918,0.226,0,2.0928600519276586e-10,modified.Newton
synthetic,modified.Newton,3.16227766016838e-13,9140,0.117169786583929,0.00374562643338918,0.352,0,7.34590027695603e-11,modified.Newton
synthetic,modified.Newton,1.0e-13,10484,0.117169786532489,0.00374562643338918,0.314,0,2.20189977362395e-11,modified.Newton
w1a,Newton,0.1,50,0.0634352169281368,0.00239220465394627,0.0309999999999997,0,5.4510328876211656e-5,Newton
w1a,Newton,0.0316227766016838,50,0.0634352169281368,0.00239220465394627,0.024,0,5.4510328876211656e-5,Newton
w1a,Newton,0.01,50,0.0634352169281368,0.00239220465394627,0.0249999999999995,0,5.4510328876211656e-5,Newton
w1a,Newton,0.00316227766016838,50,0.0634352169281368,0.00239220465394627,0.0289999999999999,0,5.4510328876211656e-5,Newton
w1a,Newton,0.001,62,0.0634352169280846,0.00239220465394627,0.0249999999999995,0,5.451032882400342e-5,Newton
w1a,Newton,0.000316227766016838,83,0.0633894352377139,0.00239220465394627,0.024,0,8.728638453303628e-6,Newton
w1a,Newton,0.0001,154,0.0633840531791844,0.00239220465394627,0.032,0,3.3465799238047156e-6,Newton
