primals,time,reg,strategy,gaps,dataset,relgaps
168.54849309262795,0.6503009796142578,0.05,gradient,50.74857365210667,w1a,0.3010918265772756
167.42142449929463,0.6633310317993164,0.05,gradient,47.65927039212919,w1a,0.2846664967441487
166.43773603494918,0.6769430637359619,0.05,gradient,44.82328295663169,w1a,0.26930961706436296
165.5742235620535,0.6902179718017578,0.05,gradient,42.06244903640385,w1a,0.2540398386385293
164.81228585900215,0.7037770748138428,0.05,gradient,39.53235272259765,w1a,0.2398628992769253
164.13675967393345,0.9041779041290283,0.05,gradient,37.22832997917706,w1a,0.22681287271134845
163.53522543630558,0.931488037109375,0.05,gradient,35.11606387116947,w1a,0.21473088612854624
162.99743263485448,0.9501810073852539,0.05,gradient,33.16347159724455,w1a,0.2034600856047659
162.51486719158592,0.9793801307678223,0.05,gradient,31.34547429110509,w1a,0.19287757995797677
162.08041050163578,0.9966030120849609,0.05,gradient,29.642622453374344,w1a,0.18288837226923965
161.68806768831325,1.0180609226226807,0.05,gradient,28.043542723298003,w1a,0.17344225287766846
161.3327555264978,1.0334560871124268,0.05,gradient,26.54253067850101,w1a,0.16452040747634525
161.0101372989431,1.050692081451416,0.05,gradient,25.132580858995993,w1a,0.156093158360166
160.7165012242746,1.069106101989746,0.05,gradient,23.807918733000236,w1a,0.14813611889035008
160.45035296509738,1.085616111755371,0.05,gradient,22.527614445075216,w1a,0.1404023988029221
160.2073933155387,1.1016759872436523,0.05,gradient,21.344691849641322,w1a,0.13323162812843217
159.9849541848145,1.1178250312805176,0.05,gradient,20.245389522436454,w1a,0.12654558439944918
159.7808932868927,1.1335070133209229,0.05,gradient,19.217769911498493,w1a,0.12027576962529714
159.59337189143577,1.1468701362609863,0.05,gradient,18.246298919276143,w1a,0.11432992926353035
159.42078043779264,1.1603150367736816,0.05,gradient,17.32600824441502,w1a,0.10868098999914116
159.26169061006092,1.1736350059509277,0.05,gradient,16.459610557164723,w1a,0.10334946523621125
159.1148243268861,1.1868629455566406,0.05,gradient,15.644974275676276,w1a,0.09832505765481149
158.97905063813687,1.200294017791748,0.05,gradient,14.87283960573086,w1a,0.09355219789042489
158.85336991166426,1.213428020477295,0.05,gradient,14.14054387322895,w1a,0.08901632921663716
158.73689182291656,1.2274589538574219,0.05,gradient,13.447661189721202,w1a,0.08471667194241854
158.62881825874717,1.2409379482269287,0.05,gradient,12.793300918079694,w1a,0.08064928591481983
158.52843446543957,1.2541499137878418,0.05,gradient,12.172505541933447,w1a,0.07678436731542408
158.43509713453105,1.2673311233520508,0.05,gradient,11.583592930606784,w1a,0.07311254349641277
158.34822686746895,1.2803781032562256,0.05,gradient,11.025346492303981,w1a,0.06962721787552285
158.26730062300368,1.2937860488891602,0.05,gradient,10.495621023753529,w1a,0.06631578969527216
158.19184526151702,1.3069519996643066,0.05,gradient,9.99259350851031,w1a,0.06316756399162624
158.12143195167866,1.3200769424438477,0.05,gradient,9.514327885029815,w1a,0.06017102025699691
158.05567129570525,1.3331820964813232,0.05,gradient,9.05796009089002,w1a,0.057308668626914035
