primals,time,randomize,reg,strategy,gaps,ordering,dataset,relgaps
163.53522543630558,0.8017380237579346,false,0.05,gradient,35.11606387116947,cyclic,w1a,0.21473088612854624
162.99743263485448,0.826956033706665,false,0.05,gradient,33.16347159724455,cyclic,w1a,0.2034600856047659
162.51486719158592,0.848613977432251,false,0.05,gradient,31.34547429110509,cyclic,w1a,0.19287757995797677
162.08041050163578,0.8674039840698242,false,0.05,gradient,29.642622453374344,cyclic,w1a,0.18288837226923965
161.68806768831325,0.8868730068206787,false,0.05,gradient,28.043542723298003,cyclic,w1a,0.17344225287766846
161.3327555264978,0.9053590297698975,false,0.05,gradient,26.54253067850101,cyclic,w1a,0.16452040747634525
161.0101372989431,0.9197549819946289,false,0.05,gradient,25.132580858995993,cyclic,w1a,0.156093158360166
160.7165012242746,0.9376940727233887,false,0.05,gradient,23.807918733000236,cyclic,w1a,0.14813611889035008
160.45035296509738,0.9559290409088135,false,0.05,gradient,22.527614445075216,cyclic,w1a,0.1404023988029221
160.2073933155387,0.9714961051940918,false,0.05,gradient,21.344691849641322,cyclic,w1a,0.13323162812843217
159.9849541848145,0.9858200550079346,false,0.05,gradient,20.245389522436454,cyclic,w1a,0.12654558439944918
159.7808932868927,0.9991111755371094,false,0.05,gradient,19.217769911498493,cyclic,w1a,0.12027576962529714
159.59337189143577,1.0123951435089111,false,0.05,gradient,18.246298919276143,cyclic,w1a,0.11432992926353035
159.42078043779264,1.0258190631866455,false,0.05,gradient,17.32600824441502,cyclic,w1a,0.10868098999914116
159.26169061006092,1.039011001586914,false,0.05,gradient,16.459610557164723,cyclic,w1a,0.10334946523621125
159.1148243268861,1.0525031089782715,false,0.05,gradient,15.644974275676276,cyclic,w1a,0.09832505765481149
158.97905063813687,1.0656390190124512,false,0.05,gradient,14.87283960573086,cyclic,w1a,0.09355219789042489
158.85336991166426,1.079035997390747,false,0.05,gradient,14.14054387322895,cyclic,w1a,0.08901632921663716
158.73689182291656,1.0959031581878662,false,0.05,gradient,13.447661189721202,cyclic,w1a,0.08471667194241854
158.62881825874717,1.1165251731872559,false,0.05,gradient,12.793300918079694,cyclic,w1a,0.08064928591481983
158.52843446543957,1.1342849731445312,false,0.05,gradient,12.172505541933447,cyclic,w1a,0.07678436731542408
158.43509713453105,1.1479160785675049,false,0.05,gradient,11.583592930606784,cyclic,w1a,0.07311254349641277
158.34822686746895,1.161417007446289,false,0.05,gradient,11.025346492303981,cyclic,w1a,0.06962721787552285
158.26730062300368,1.1749091148376465,false,0.05,gradient,10.495621023753529,cyclic,w1a,0.06631578969527216
158.19184526151702,1.1885039806365967,false,0.05,gradient,9.99259350851031,cyclic,w1a,0.06316756399162624
158.12143195167866,1.2019829750061035,false,0.05,gradient,9.514327885029815,cyclic,w1a,0.06017102025699691
158.05567129570525,1.2162950038909912,false,0.05,gradient,9.05796009089002,cyclic,w1a,0.057308668626914035
157.9942090732605,1.230376958847046,false,0.05,gradient,8.623871736296223,cyclic,w1a,0.05458346724782433
157.93672252027505,1.2440011501312256,false,0.05,gradient,8.21442933400806,cyclic,w1a,0.05201088893657101
157.8829170679749,1.2572801113128662,false,0.05,gradient,7.826892296719137,cyclic,w1a,0.04957402892011013
157.83252347651666,1.2703790664672852,false,0.05,gradient,7.457653627936281,cyclic,w1a,0.04725042382691093
157.7852953071899,1.28397798538208,false,0.05,gradient,7.107701487314898,cyclic,w1a,0.045046665935992436
157.74100668613903,1.2973690032958984,false,0.05,gradient,6.77615398117743,cyclic,w1a,0.04295746631476812
157.69945032034767,1.3108630180358887,false,0.05,gradient,6.462776227023397,cyclic,w1a,0.04098160275064394
157.66043573303048,1.4892971515655518,false,0.05,gradient,6.166590659261487,cyclic,w1a,0.039113114400517686
157.62378769073248,1.5145721435546875,false,0.05,gradient,5.886225434304322,cyclic,w1a,0.03734350963481132
157.58934479855054,1.5334019660949707,false,0.05,gradient,5.618951262196845,cyclic,w1a,0.035655654697845575
157.55695824323126,1.5616250038146973,false,0.05,gradient,5.3649324916819126,cyclic,w1a,0.03405074933853258
157.52649066663395,1.577897071838379,false,0.05,gradient,5.124733757461911,cyclic,w1a,0.03253252031308911
157.49781515435234,1.598107099533081,false,0.05,gradient,4.896742392524402,cyclic,w1a,0.031090859182557263
157.47081432623992,1.613173007965088,false,0.05,gradient,4.679908612213239,cyclic,w1a,0.029719212618775477
157.44537951726426,1.6316039562225342,false,0.05,gradient,4.472037351824042,cyclic,w1a,0.02840373827123757
157.42141003856946,1.6522901058197021,false,0.05,gradient,4.272713987610814,cyclic,w1a,0.02714188614219607
157.39881250988208,1.6701271533966064,false,0.05,gradient,4.083261390007863,cyclic,w1a,0.02594213593416723
157.37750025548732,1.6890840530395508,false,0.05,gradient,3.902251180965834,cyclic,w1a,0.024795483310072294
157.357392756945,1.706732988357544,false,0.05,gradient,3.7301843848325404,cyclic,w1a,0.02370517405937325
157.33841515653685,1.7272629737854004,false,0.05,gradient,3.5653106879991867,cyclic,w1a,0.02266014110064627
157.3204971947157,1.741042137145996,false,0.05,gradient,3.4082656310504262,cyclic,w1a,0.02166447279169232
157.30357498794277,1.755005121231079,false,0.05,gradient,3.2585664786017503,cyclic,w1a,0.02071514572285797
157.28758783819828,1.7690420150756836,false,0.05,gradient,3.1158360348541407,cyclic,w1a,0.01980980239877161
157.27247876428137,1.7833609580993652,false,0.05,gradient,2.978876051881599,cyclic,w1a,0.01894086031635778
157.25819334754854,1.7979011535644531,false,0.05,gradient,2.8469093523712274,cyclic,w1a,0.01810340874309432
157.2446826383411,1.8118910789489746,false,0.05,gradient,2.721040982532571,cyclic,w1a,0.017304502364578513
157.23190166968294,1.825463056564331,false,0.05,gradient,2.600658954838366,cyclic,w1a,0.01654027539717672
157.21980832993697,1.8396201133728027,false,0.05,gradient,2.4857723822109676,cyclic,w1a,0.015810809137957967
157.20836297774142,1.8529961109161377,false,0.05,gradient,2.375764036487425,cyclic,w1a,0.015112198813645818
157.19752830633317,1.8667869567871094,false,0.05,gradient,2.27112926325961,cyclic,w1a,0.014447614334201402
157.1872692536285,1.8804740905761719,false,0.05,gradient,2.1715626287057432,cyclic,w1a,0.013815130442923037
157.17755290758777,1.8939330577850342,false,0.05,gradient,2.0763453165380383,cyclic,w1a,0.013210189865717158
157.1683483984809,1.9072761535644531,false,0.05,gradient,1.9856160465688788,cyclic,w1a,0.012633689077998039
157.1596267800436,1.926624059677124,false,0.05,gradient,1.8988560176154579,cyclic,w1a,0.012082339825565034
157.15136108683777,1.9402101039886475,false,0.05,gradient,1.8166498808485017,cyclic,w1a,0.011559873667557152
157.143527430112,1.9538240432739258,false,0.05,gradient,1.7373794477314846,cyclic,w1a,0.011056003872028179
157.13610089290734,1.9671039581298828,false,0.05,gradient,1.6613820293760853,cyclic,w1a,0.010572885670036855
157.12905848261693,1.980510950088501,false,0.05,gradient,1.5886015644019835,cyclic,w1a,0.010110170453148418
157.12237880769845,1.9937641620635986,false,0.05,gradient,1.5191783712658662,cyclic,w1a,0.009668758726757718
