passes,init_partial0F,init_relgap,final_relgap,nnz_solution,randomize,strategy,times,dataset,warm_start,reg_grid,lambdamax,start_kind,ordering
300,0.007583418129252829,0.00956025794518601,0.001992054619864793,221,true,gradient,2.0604372024536133,simulated,true,0.006608103647168024,64.19253505215202,warm,permuted
300,0.015574506673590073,0.010168905428158913,0.0047578008275628615,229,true,gradient,2.256260871887207,simulated,true,0.005000000000000002,64.19253505215202,warm,permuted
4,100.0,0.11870910076930719,-1.1166490234166606e-15,0,false,newton,0.021420955657958984,simulated,false,1.0,64.19253505215202,cold,cyclic
13,100.0,0.1598475699784372,6.047980226959327e-9,10,false,newton,0.07828402519226074,simulated,false,0.756646727558943,64.19253505215202,cold,cyclic
16,100.0,0.24539047426054683,6.564885449458117e-9,11,false,newton,0.08469200134277344,simulated,false,0.5725142703256574,64.19253505215202,cold,cyclic
18,100.0,0.3443128402442381,7.749640007907408e-9,14,false,newton,0.10888195037841797,simulated,false,0.43319104912270473,64.19253505215202,cold,cyclic
20,100.0,0.4423099034504825,6.899531998181532e-9,20,false,newton,0.11518406867980957,simulated,false,0.32777258972651985,64.19253505215202,cold,cyclic
22,100.0,0.5327346190923794,4.596922815835601e-9,39,false,newton,0.29004406929016113,simulated,false,0.2480080574000913,64.19253505215202,cold,cyclic
29,100.0,0.6128599453938585,8.420395065922532e-9,64,false,newton,0.2147819995880127,simulated,false,0.18765448504002957,64.19253505215202,cold,cyclic
39,100.0,0.6820297979373803,6.096904752534811e-9,100,false,newton,0.24078011512756348,simulated,false,0.14198815201729703,64.19253505215202,cold,cyclic
56,100.0,0.7406644721933645,9.369410360742989e-9,133,false,newton,0.35008716583251953,simulated,false,0.10743487057602952,64.19253505215202,cold,cyclic
71,100.0,0.7897047968455836,9.135466730675502e-9,153,false,newton,0.46305394172668457,simulated,false,0.08129024324707132,64.19253505215202,cold,cyclic
96,100.0,0.8302982601575181,9.752650774382788e-9,167,false,newton,0.6196939945220947,simulated,false,0.06150799653536698,64.19253505215202,cold,cyclic
118,100.0,0.8636241363397819,9.286381785463626e-9,181,false,newton,0.9744689464569092,simulated,false,0.04653982429719224,64.19253505215202,cold,cyclic
165,100.0,0.8908001350011554,9.70519987581544e-9,194,false,newton,1.1016240119934082,simulated,false,0.03521420575563868,64.19253505215202,cold,cyclic
183,100.0,0.9128371285527405,7.183855517394671e-9,200,false,newton,1.2208549976348877,simulated,false,0.026644713548591308,64.19253505215202,cold,cyclic
253,100.0,0.9306219834740698,9.499431719732584e-9,209,false,newton,1.68094801902771,simulated,false,0.02016063531328705,64.19253505215202,cold,cyclic
257,100.0,0.9449163945000076,9.531610308183765e-9,208,false,newton,1.8976709842681885,simulated,false,0.015254478735307905,64.19253505215202,cold,cyclic
298,100.0,0.95636435774686,8.667699186035397e-9,215,false,newton,2.005107879638672,simulated,false,0.011542251415688211,64.19253505215202,cold,cyclic
300,100.0,0.9655038244899873,7.087329229326291e-8,217,false,newton,2.291533946990967,simulated,false,0.008733406762343065,64.19253505215202,cold,cyclic
300,100.0,0.972779880236669,4.6879239022982184e-7,221,false,newton,2.0653960704803467,simulated,false,0.006608103647168024,64.19253505215202,cold,cyclic
300,100.0,0.9785579174514318,1.2601075545734842e-6,225,false,newton,2.0639960765838623,simulated,false,0.005000000000000002,64.19253505215202,cold,cyclic
6,1166.5,0.8103067618827862,1.7791857375634104e-9,0,true,newton,0.05328989028930664,w1a,true,1.0,16.06419055308849,warm,permuted
