p,n,time,reg,strategy,gaps,primals,it,s,relgaps,μ0
1000,500,0.23115301132202148,0.1,newton,5.357441266009118,-46688.66525119642,1,10,0.00011474822073376431,$\mu_0 = 30$
1000,500,0.2346820831298828,0.1,newton,3.4399340256786672,-46688.668371424195,1,10,7.367813530925373e-5,$\mu_0 = 30$
1000,500,0.2382831573486328,0.1,newton,1.9947280732085346,-46688.66938360465,1,10,4.272402918188562e-5,$\mu_0 = 30$
1000,500,0.24148797988891602,0.1,newton,1.096086205827305,-46688.669686749665,1,10,2.3476492544793505e-5,$\mu_0 = 30$
1000,500,0.2447981834411621,0.1,newton,0.5844103299896233,-46688.66977301265,1,10,1.2517176711841739e-5,$\mu_0 = 30$
1000,500,0.2481381893157959,0.1,newton,0.30620200733392267,-46688.66979683451,1,10,6.558379338421056e-6,$\mu_0 = 30$
1000,500,0.2545921802520752,0.1,newton,0.1588301867377595,-46688.66980330714,1,10,3.401900020002475e-6,$\mu_0 = 30$
1000,500,0.26315903663635254,0.1,newton,0.0819394712743815,-46688.669805052836,1,10,1.75501832921172e-6,$\mu_0 = 30$
1000,500,0.2721991539001465,0.1,newton,0.042166953076957725,-46688.66980552279,1,10,9.031517336561559e-7,$\mu_0 = 30$
1000,500,0.28061819076538086,0.1,newton,0.021686753192625474,-46688.66980564948,1,10,4.644971313789991e-7,$\mu_0 = 30$
1000,500,0.29204297065734863,0.1,newton,0.01116025947703747,-46688.669805683756,1,10,2.390357130217244e-7,$\mu_0 = 30$
1000,500,0.29583311080932617,0.1,newton,0.005750604294007644,-46688.66980569303,1,10,1.2316916112496395e-7,$\mu_0 = 30$
1000,500,0.29962897300720215,0.1,newton,0.0029680403386009857,-46688.66980569559,1,10,6.357089098817958e-8,$\mu_0 = 30$
1000,500,0.30301499366760254,0.1,newton,0.0015346320797107182,-46688.669805696285,1,10,3.286947531590383e-8,$\mu_0 = 30$
1000,500,0.30663514137268066,0.1,newton,0.0007949039791128598,-46688.66980569647,1,10,1.7025629182004964e-8,$\mu_0 = 30$
1000,500,0.3104691505432129,0.1,newton,0.00041243818850489333,-46688.66980569653,1,10,8.833796084174823e-9,$\mu_0 = 30$
1000,500,0.3138301372528076,0.1,newton,0.0002143243109458126,-46688.66980569655,1,10,4.59049940462563e-9,$\mu_0 = 30$
1000,500,0.3171200752258301,0.1,newton,0.00011152572551509365,-46688.66980569654,1,10,2.388710708170278e-9,$\mu_0 = 30$
1000,500,0.3271009922027588,0.1,newton,5.8101635659113526e-5,-46688.66980569655,1,10,1.2444482976472478e-9,$\mu_0 = 30$
1000,500,0.33074402809143066,0.1,newton,3.0299241188913584e-5,-46688.669805696554,1,10,6.489634704738735e-10,$\mu_0 = 30$
1000,500,0.33415818214416504,0.1,newton,1.581355172675103e-5,-46688.669805696554,1,10,3.3870212607388515e-10,$\mu_0 = 30$
1000,500,0.33757901191711426,0.1,newton,8.258750312961638e-6,-46688.66980569654,1,10,1.7688981817927008e-10,$\mu_0 = 30$
1000,500,0.341494083404541,0.1,newton,4.315443220548332e-6,-46688.66980569655,1,10,1.0e-10,$\mu_0 = 30$
1000,500,2.4080276489257812e-5,0.1,newton,229380.4194851268,500.0,1,10,458.7608389702536,$\mu_0 = 100$
1000,500,0.005423069000244141,0.1,newton,164076.24549126974,-65920.91635714918,1,10,2.4889861148520813,$\mu_0 = 100$
1000,500,0.009920120239257812,0.1,newton,74580.23775316286,-155328.47094258148,1,10,0.4801453159268663,$\mu_0 = 100$
1000,500,0.01433420181274414,0.1,newton,45226.63355904812,-184696.2927771806,1,10,0.24487028342041475,$\mu_0 = 100$
1000,500,0.020542144775390625,0.1,newton,19171.924971682543,-210434.046197965,1,10,0.09110657385567081,$\mu_0 = 100$
1000,500,0.46422719955444336,0.1,exact,9.17232046049321e-6,-4896.680941259368,5,10,1.873170943854512e-9,$\mu_0 = 10$
1000,500,0.4678051471710205,0.1,exact,7.38645758247003e-6,-4896.680941259368,5,10,1.5084620932174356e-9,$\mu_0 = 10$
1000,500,0.47133517265319824,0.1,exact,5.718376087315846e-6,-4896.680941259368,5,10,1.1678065522163974e-9,$\mu_0 = 10$
1000,500,0.47524404525756836,0.1,exact,4.888664079771843e-6,-4896.680941259369,5,10,9.983627968447002e-10,$\mu_0 = 10$
1000,500,0.47881317138671875,0.1,exact,4.223331416142173e-6,-4896.68094125937,5,10,8.624885849834399e-10,$\mu_0 = 10$
1000,500,0.4825022220611572,0.1,exact,3.0846331355860457e-6,-4896.680941259368,5,10,6.299436644105128e-10,$\mu_0 = 10$
1000,500,0.4863409996032715,0.1,exact,2.5701383492560126e-6,-4896.680941259369,5,10,5.248735582504591e-10,$\mu_0 = 10$
1000,500,0.4904170036315918,0.1,exact,2.02550563699333e-6,-4896.680941259368,5,10,4.1364868597552403e-10,$\mu_0 = 10$
1000,500,0.4941220283508301,0.1,exact,1.6424783098045737e-6,-4896.680941259367,5,10,3.3542685943964084e-10,$\mu_0 = 10$
1000,500,0.4987030029296875,0.1,exact,1.3207372830947861e-6,-4896.680941259368,5,10,2.6972091891188406e-10,$\mu_0 = 10$
1000,500,0.503305196762085,0.1,exact,1.0644234862411395e-6,-4896.68094125937,5,10,2.1737652483589872e-10,$\mu_0 = 10$
1000,500,0.5084221363067627,0.1,exact,8.582064765505493e-7,-4896.680941259368,5,10,1.7526289477415467e-10,$\mu_0 = 10$
1000,500,0.5145840644836426,0.1,exact,6.903383109602146e-7,-4896.6809412593675,5,10,1.4098086423059205e-10,$\mu_0 = 10$
1000,500,0.5191202163696289,0.1,exact,5.57211933482904e-7,-4896.680941259368,5,10,1.1379380036543604e-10,$\mu_0 = 10$
1000,500,0.5231389999389648,0.1,exact,4.502335286815651e-7,-4896.680941259368,5,10,1.0e-10,$\mu_0 = 10$
1000,500,1.7881393432617188e-5,0.1,exact,28772.122358572025,500.0,5,10,57.54424471714405,$\mu_0 = 30$
1000,500,0.0060749053955078125,0.1,exact,16918.93662057335,-11623.995882023923,5,10,1.4555181189231026,$\mu_0 = 30$
1000,500,0.011529922485351562,0.1,exact,7234.338602807606,-21293.157361828333,5,10,0.33974945471339113,$\mu_0 = 30$
1000,500,0.017711877822875977,0.1,exact,3323.945161707554,-25172.781005990037,5,10,0.13204521029744778,$\mu_0 = 30$
1000,500,0.023211002349853516,0.1,exact,1583.761554396191,-26878.08113409848,5,10,0.058923907048817385,$\mu_0 = 30$
1000,500,0.028357982635498047,0.1,exact,735.4057940970015,-27673.255653361317,5,10,0.02657460341164,$\mu_0 = 30$
1000,500,0.032156944274902344,0.1,exact,338.1286430784894,-27979.68848931947,5,10,0.012084789407414646,$\mu_0 = 30$
1000,500,0.03590989112854004,0.1,exact,78.40530980360927,-28024.7828449193,5,10,0.002797713375246496,$\mu_0 = 30$
1000,500,0.039636850357055664,0.1,exact,21.226736898053787,-28027.369166593355,5,10,0.0007573574519921249,$\mu_0 = 30$
1000,500,0.04334402084350586,0.1,exact,9.5665121674283,-28027.53286162769,5,10,0.00034132551782771253,$\mu_0 = 30$
1000,500,0.04793381690979004,0.1,exact,5.351479269535048,-28027.557083946474,5,10,0.00019093634359593364,$\mu_0 = 30$
1000,500,0.05154299736022949,0.1,exact,2.5404737268509052,-28027.56322242107,5,10,9.064197649614488e-5,$\mu_0 = 30$
1000,500,0.05628395080566406,0.1,exact,1.1822740151073958,-28027.564778677555,5,10,4.2182545092423825e-5,$\mu_0 = 30$
1000,500,0.06058001518249512,0.1,exact,0.5982103389033,-28027.565193051425,5,10,2.1343642759650343e-5,$\mu_0 = 30$
1000,500,0.06411099433898926,0.1,exact,0.3254823447750823,-28027.56530559812,5,10,1.1612936807967109e-5,$\mu_0 = 30$
1000,500,0.0675499439239502,0.1,exact,0.181256052601384,-28027.565336890093,5,10,6.467063778915303e-6,$\mu_0 = 30$
1000,500,0.07162880897521973,0.1,exact,0.10023463960533263,-28027.565345784413,5,10,3.5762877855678174e-6,$\mu_0 = 30$
1000,500,0.07557988166809082,0.1,exact,0.05482656638560002,-28027.565348351116,5,10,1.956165856868674e-6,$\mu_0 = 30$
1000,500,0.07952094078063965,0.1,exact,0.029827910318999784,-28027.56534910212,5,10,1.0642347969748055e-6,$\mu_0 = 30$
1000,500,0.08310580253601074,0.1,exact,0.016235419501754222,-28027.565349325643,5,10,5.7926613672653e-7,$\mu_0 = 30$
1000,500,0.08776688575744629,0.1,exact,0.008881384062988218,-28027.565349393604,5,10,3.168803266452957e-7,$\mu_0 = 30$
1000,500,0.0922999382019043,0.1,exact,0.004898499733826611,-28027.565349414777,5,10,1.7477435777092545e-7,$\mu_0 = 30$
1000,500,0.09817695617675781,0.1,exact,0.0027288866804155987,-28027.565349421537,5,10,9.736438561089361e-8,$\mu_0 = 30$
1000,500,0.10366201400756836,0.1,exact,0.00153616438183235,-28027.565349423756,5,10,5.480905539531401e-8,$\mu_0 = 30$
1000,500,0.10926198959350586,0.1,exact,0.0008733222493901849,-28027.5653494245,5,10,3.11594046254937e-8,$\mu_0 = 30$
1000,500,0.11566781997680664,0.1,exact,0.0005008568659832235,-28027.565349424764,5,10,1.78701524637959e-8,$\mu_0 = 30$
1000,500,0.1218099594116211,0.1,exact,0.0002894019016821403,-28027.565349424847,5,10,1.0325616873036e-8,$\mu_0 = 30$
1000,500,0.12823200225830078,0.1,exact,0.00017241652312804945,-28027.56534942488,5,10,6.151676785996233e-9,$\mu_0 = 30$
1000,500,0.13472890853881836,0.1,exact,0.00010667560127330944,-28027.565349424884,5,10,3.806095889648809e-9,$\mu_0 = 30$
1000,500,0.1411910057067871,0.1,exact,6.58514654787723e-5,-28027.56534942489,5,10,2.3495250000415583e-9,$\mu_0 = 30$
1000,500,0.14816999435424805,0.1,exact,4.0562768845120445e-5,-28027.565349424898,5,10,1.4472455362931749e-9,$\mu_0 = 30$
1000,500,0.15483784675598145,0.1,exact,2.493492138455622e-5,-28027.565349424887,5,10,8.896570598868614e-10,$\mu_0 = 30$
1000,500,0.16154193878173828,0.1,exact,1.5299108781618997e-5,-28027.565349424884,5,10,5.458593563473015e-10,$\mu_0 = 30$
1000,500,0.16770482063293457,0.1,exact,9.370480256620795e-6,-28027.56534942489,5,10,3.343308681934113e-10,$\mu_0 = 30$
1000,500,0.1743769645690918,0.1,exact,5.730016710003838e-6,-28027.565349424895,5,10,2.044421853474124e-10,$\mu_0 = 30$
1000,500,0.18103480339050293,0.1,exact,3.4986805985681713e-6,-28027.5653494249,5,10,1.2482998629918316e-10,$\mu_0 = 30$
1000,500,0.18756890296936035,0.1,exact,2.133368980139494e-6,-28027.565349424884,5,10,1.0e-10,$\mu_0 = 30$
1000,500,1.7881393432617188e-5,0.1,exact,144001.4998930285,500.0,5,10,288.002999786057,$\mu_0 = 100$
1000,500,0.005967855453491211,0.1,exact,95330.98833483958,-48896.71568174387,5,10,1.949639909463949,$\mu_0 = 100$
1000,500,0.011300086975097656,0.1,exact,49119.98930544453,-95102.41814309481,5,10,0.5164956923759465,$\mu_0 = 100$
1000,500,0.016955852508544922,0.1,exact,25128.215214017968,-119032.83955864912,5,10,0.21110321577800342,$\mu_0 = 100$
1000,500,0.02313995361328125,0.1,exact,14173.55035697238,-129921.22668421196,5,10,0.10909341543874718,$\mu_0 = 100$
1000,500,0.027925968170166016,0.1,exact,8545.592715937295,-135493.8170926357,5,10,0.06306998281770129,$\mu_0 = 100$
1000,500,0.03284907341003418,0.1,exact,4932.12867409992,-139057.64376202744,5,10,0.035468231308020626,$\mu_0 = 100$
1000,500,0.03732800483703613,0.1,exact,2533.222658237355,-141417.6682713301,5,10,0.017913056333081406,$\mu_0 = 100$
1000,500,0.04162192344665527,0.1,exact,1079.8014698658371,-142801.29617930722,5,10,0.00756156630756344,$\mu_0 = 100$
1000,500,0.04517698287963867,0.1,exact,452.19317883913754,-143156.86834448628,5,10,0.003158724999145693,$\mu_0 = 100$
