problem,alg,eps,npasses,primal,final_lambda,runtime,subopt,mode
synthetic,Newton,3.16227766016838e-12,1389,0.117169787199468,0.00374562643338917,0.327,5.439954042785189e-13,Newton
synthetic,Newton,1.0e-12,1522,0.117169787198924,0.00374562643338917,0.492,1.0e-15,Newton
synthetic,Newton,3.16227766016838e-13,1656,0.117169787200967,0.00374562643338917,0.393,2.0430046543395974e-12,Newton
synthetic,Newton,1.0e-13,1789,0.117169787202851,0.00374562643338917,0.414,3.926997615977257e-12,Newton
synthetic,MM,0.1,95,0.120030658955965,0.00374562643338917,0.0999999999999996,0.0028608717570410003,MM
synthetic,MM,0.0316227766016838,95,0.120030658955965,0.00374562643338917,0.0999999999999996,0.0028608717570410003,MM
synthetic,MM,0.01,95,0.120030658955965,0.00374562643338917,0.105,0.0028608717570410003,MM
synthetic,MM,0.00316227766016838,95,0.120030658955965,0.00374562643338917,0.106,0.0028608717570410003,MM
synthetic,MM,0.001,95,0.120030658955965,0.00374562643338917,0.101999999999999,0.0028608717570410003,MM
synthetic,MM,0.000316227766016838,99,0.12003065086558,0.00374562643338917,0.104,0.0028608636666559994,MM
synthetic,MM,0.0001,111,0.120030471687974,0.00374562643338917,0.105,0.002860684489049997,MM
synthetic,MM,3.16227766016838e-5,142,0.119900224570007,0.00374562643338917,0.107,0.002730437371083,MM
synthetic,MM,1.0e-5,209,0.118635246452822,0.00374562643338917,0.111,0.0014654592538980021,MM
synthetic,MM,3.16227766016838e-6,340,0.117734059074747,0.00374562643338917,0.167,0.0005642718758230025,MM
synthetic,MM,1.0e-6,561,0.117359396261613,0.00374562643338917,0.221,0.00018960906268900013,MM
synthetic,MM,3.16227766016838e-7,855,0.117226504991846,0.00374562643338917,0.291,5.671779292200363e-5,MM
synthetic,MM,1.0e-7,1225,0.117186154345995,0.00374562643338917,0.256,1.6367147070997512e-5,MM
synthetic,MM,3.16227766016838e-8,1655,0.117175207400928,0.00374562643338917,0.317,5.420202004002839e-6,MM
synthetic,MM,1.0e-8,2167,0.117171593220617,0.00374562643338917,0.376999999999999,1.8060216930015915e-6,MM
synthetic,MM,3.16227766016838e-9,2764,0.117170432612791,0.00374562643338917,0.453000000000001,6.454138670036746e-7,MM
synthetic,MM,1.0e-9,3448,0.117170029491282,0.00374562643338917,0.554,2.422923579964431e-7,MM
synthetic,MM,3.16227766016838e-10,4166,0.117169879906124,0.00374562643338917,0.671000000000001,9.270720000009725e-8,MM
synthetic,MM,1.0e-10,4943,0.117169815780108,0.00374562643338917,0.808999999999999,2.8581184002840487e-8,MM
synthetic,MM,3.16227766016838e-11,5772,0.117169796954933,0.00374562643338917,0.904,9.756009000660981e-9,MM
synthetic,MM,1.0e-11,6631,0.117169790904279,0.00374562643338917,1.089,3.7053549950538667e-9,MM
synthetic,MM,3.16227766016838e-12,7534,0.117169788734526,0.00374562643338917,1.179,1.5356020066636944e-9,MM
synthetic,MM,1.0e-12,8476,0.117169787819596,0.00374562643338917,1.349,6.206719999068966e-10,MM
synthetic,MM,3.16227766016838e-13,9461,0.11716978745031,0.00374562643338917,1.48,2.513859953534592e-10,MM
synthetic,MM,1.0e-13,10490,0.117169787305712,0.00374562643338917,1.618,1.0678799511332215e-10,MM
w1a,Newton,0.1,84,0.0633956004551116,0.00239220465394607,0.132999999999999,1.4893847073996214e-5,Newton
w1a,Newton,0.0316227766016838,84,0.0633956004551116,0.00239220465394607,0.142000000000003,1.4893847073996214e-5,Newton
w1a,Newton,0.01,84,0.0633956004551116,0.00239220465394607,0.131,1.4893847073996214e-5,Newton
w1a,Newton,0.00316227766016838,84,0.0633956004551116,0.00239220465394607,0.132999999999999,1.4893847073996214e-5,Newton
